id,direction,actual_state,expected_route,reason,p_entry,p_now,drift,slope,abs_delta,gamma_ratio,persistence,confirmations,edb_lean,edb_conf,ggr,kpf,option_exit_friction,future_hedge_friction
case_000051,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.126424,0.487642,0.361218,0.090311,0.5749,1.5809,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,86.09,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,POOR,MEDIUM
case_000061,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.180586,0.569823,0.389237,0.778473,0.6358,1.4135,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,66.37,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,EXTREME,LOW
case_000072,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.510215,0.587604,0.07739,0.154779,0.3471,0.9688,LOW,,NEUTRAL,44.8,CALM_TRANSITION,THICK_BUFFER,HIGH,LOW
case_000075,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.642305,0.696683,0.054379,0.108758,0.5297,2.8645,LOW,,BEARISH,59.25,NEGATIVE_GAMMA_AMPLIFYING,OK,EXTREME,MEDIUM
case_000093,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.645242,0.765225,0.119982,0.239965,0.6648,2.5198,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,60.63,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,HIGH,LOW
case_000099,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.838111,0.850764,0.012653,-0.033001,0.2149,1.1068,LOW,,BEARISH,69.92,CALM_TRANSITION,INTACT,GOOD,MEDIUM
case_000101,SHORT_CALL,EXIT_PREFERRED,WATCH,exit_preferred_too_eager,0.632474,0.721368,0.088893,0.177787,0.4407,1.3951,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,64.25,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,MEDIUM,MEDIUM
case_000110,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.56239,0.653591,0.091202,-0.014371,0.4743,1.7392,LOW,,NEUTRAL,38.52,POSITIVE_GAMMA_PINNING,OK,LOW,MEDIUM
case_000125,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.633573,0.520931,-0.112642,0.00655,0.46,2.9172,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,43.33,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,POOR,LOW
case_000134,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.582793,0.655019,0.072226,0.144451,0.4007,2.0107,LOW,GGR_ADVERSE,NEUTRAL,46.9,NEGATIVE_GAMMA_AMPLIFYING,OK,LOW,LOW
case_000136,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.577827,0.598353,0.020526,-0.030248,0.417,2.5125,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,52.97,CALM_TRANSITION,PENETRATED,HIGH,LOW
case_000138,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.786997,0.773452,-0.013545,-0.02709,0.3573,1.2029,LOW,,BEARISH,50.85,CALM_TRANSITION,THICK_BUFFER,EXTREME,MEDIUM
case_000139,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.683135,0.591146,-0.091989,-0.183977,0.2826,1.8109,LOW,,BEARISH,53.5,POSITIVE_GAMMA_PINNING,OK,GOOD,MEDIUM
case_000141,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.552794,0.536437,-0.016357,-0.032714,0.3113,2.0808,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,68.8,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,HIGH,LOW
case_000172,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.311097,0.418183,0.107086,0.076037,0.1162,2.9647,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,53.05,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,POOR,LOW
case_000188,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.73131,0.780347,0.049037,0.098074,0.4467,2.7225,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,49.75,POSITIVE_GAMMA_PINNING,ABSENT,LOW,MEDIUM
case_000194,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.119655,0.571536,0.451881,0.058559,0.6839,2.8771,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,68.02,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,EXTREME,LOW
case_000197,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.761526,0.825365,0.063839,0.127679,0.3988,2.3725,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,63.71,POSITIVE_GAMMA_PINNING,ABSENT,POOR,MEDIUM
case_000203,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.75666,0.782994,0.026334,0.052668,0.384,1.5583,LOW,,BULLISH,56.96,CALM_TRANSITION,THICK_BUFFER,GOOD,LOW
case_000205,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.607099,0.535204,-0.071894,-0.143789,0.3846,2.0018,LOW,GGR_ADVERSE,BEARISH,76.53,NEGATIVE_GAMMA_AMPLIFYING,OK,POOR,MEDIUM
case_000208,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.688748,0.521995,-0.166754,-0.333508,0.3037,1.6382,LOW,,BEARISH,68.74,CALM_TRANSITION,THICK_BUFFER,LOW,LOW
case_000215,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.677829,0.653767,-0.024062,-0.048124,0.2728,0.5587,LOW,,BULLISH,71.36,CALM_TRANSITION,INTACT,GOOD,LOW
case_000220,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.736778,0.713478,-0.0233,-0.0466,0.2024,0.5734,LOW,,BULLISH,48.79,CALM_TRANSITION,INTACT,LOW,MEDIUM
case_000222,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.538482,0.597491,0.05901,0.118019,0.4167,2.8511,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,71.37,CALM_TRANSITION,ABSENT,LOW,MEDIUM
case_000291,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.68674,0.629901,-0.056839,-0.113678,0.3,1.1417,LOW,,BEARISH,72.68,POSITIVE_GAMMA_PINNING,THICK_BUFFER,POOR,MEDIUM
case_000295,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.800314,0.867392,0.067078,0.048966,0.214,1.7743,LOW,,BEARISH,59.05,POSITIVE_GAMMA_PINNING,OK,MEDIUM,LOW
case_000305,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.67609,0.533798,-0.142291,-0.284583,0.3071,2.6662,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,71.05,POSITIVE_GAMMA_PINNING,TOUCHED,HIGH,LOW
case_000307,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.691625,0.708058,0.016434,0.002698,0.3747,1.112,LOW,,BULLISH,73.06,POSITIVE_GAMMA_PINNING,THICK_BUFFER,HIGH,LOW
case_000315,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.502204,0.602689,0.100485,0.20097,0.3984,2.7572,LOW,,BEARISH,56.18,POSITIVE_GAMMA_PINNING,OK,EXTREME,LOW
case_000321,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.803267,0.840788,0.037521,-0.007096,0.3767,0.8169,LOW,,BEARISH,49.74,CALM_TRANSITION,OK,HIGH,LOW
case_000327,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.717609,0.757577,0.039968,0.079936,0.2656,2.4189,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,64.46,POSITIVE_GAMMA_PINNING,PENETRATED,POOR,LOW
case_000329,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.103834,0.54168,0.437846,-0.010163,0.594,2.8963,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,64.94,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,EXTREME,MEDIUM
case_000336,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.139144,0.527831,0.388687,0.777374,0.4788,1.7516,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,75.44,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,EXTREME,MEDIUM
case_000340,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.587242,0.618483,0.03124,0.090007,0.3117,2.3274,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,69.02,CALM_TRANSITION,TOUCHED,GOOD,MEDIUM
case_000349,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.615627,0.627114,0.011486,0.022973,0.4989,1.9502,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,61.74,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,LOW,LOW
case_000374,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.708421,0.721617,0.013196,0.026391,0.4499,1.5863,LOW,,BULLISH,46.67,CALM_TRANSITION,THICK_BUFFER,HIGH,LOW
case_000382,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.694121,0.710579,0.016459,0.032917,0.0842,1.3487,LOW,,BEARISH,63.15,POSITIVE_GAMMA_PINNING,THICK_BUFFER,LOW,MEDIUM
case_000384,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.627413,0.676535,0.049121,0.032261,0.4783,2.1553,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,66.65,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,HIGH,LOW
case_000385,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.818527,0.759867,-0.058661,-0.117321,0.4417,2.2379,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,74.22,POSITIVE_GAMMA_PINNING,TOUCHED,EXTREME,LOW
case_000390,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.083195,0.202705,0.11951,0.036295,0.4071,1.1806,LOW,GGR_ADVERSE,BEARISH,45.74,NEGATIVE_GAMMA_AMPLIFYING,OK,GOOD,MEDIUM
case_000396,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.62312,0.774204,0.151083,-0.027078,0.3751,3.11,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,43.14,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,EXTREME,LOW
case_000399,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.02236,0.500471,0.478111,0.956221,0.7186,1.7162,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,81.8,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,HIGH,LOW
case_000403,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.537237,0.517938,-0.019299,0.075457,0.1532,2.621,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,55.54,CALM_TRANSITION,ABSENT,GOOD,MEDIUM
case_000418,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.430573,0.502203,0.07163,-0.026699,0.3061,1.6039,LOW,,BEARISH,69.47,CALM_TRANSITION,THICK_BUFFER,EXTREME,MEDIUM
case_000440,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.570453,0.646952,0.0765,0.152999,0.3109,3.1991,LOW,GGR_ADVERSE,BULLISH,71.45,NEGATIVE_GAMMA_AMPLIFYING,OK,POOR,MEDIUM
case_000442,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.729339,0.75707,0.027731,0.080233,0.4066,0.6061,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,36.24,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,EXTREME,LOW
case_000443,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.418079,0.524045,0.105966,0.211932,0.4021,3.053,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,43.46,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,EXTREME,LOW
case_000451,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.680579,0.773489,0.092909,0.185818,0.5798,2.9776,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,NEUTRAL,40.11,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,POOR,LOW
case_000453,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.630945,0.738426,0.107481,0.214962,0.518,0.6046,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,55.79,CALM_TRANSITION,ABSENT,MEDIUM,MEDIUM
case_000464,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.733446,0.664783,-0.068662,-0.137325,0.3789,2.5917,LOW,,BEARISH,76.16,NEGATIVE_GAMMA_AMPLIFYING,OK,GOOD,LOW
case_000467,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.52944,0.5501,0.02066,0.023416,0.3926,0.7235,LOW,,BEARISH,38.38,CALM_TRANSITION,INTACT,GOOD,LOW
case_000473,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.604881,0.680576,0.075695,0.15139,0.3612,1.2275,LOW,,BULLISH,56.26,POSITIVE_GAMMA_PINNING,THICK_BUFFER,EXTREME,LOW
case_000494,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.49537,0.582366,0.086995,0.019059,0.1564,1.4081,LOW,,BULLISH,60.0,CALM_TRANSITION,OK,GOOD,MEDIUM
case_000497,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.769941,0.765379,-0.004562,0.086,0.36,1.0904,LOW,KPF_BUFFER_WEAK_OR_BROKEN,NEUTRAL,58.99,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,GOOD,LOW
case_000499,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.694624,0.531217,-0.163408,0.023862,0.2151,0.8826,LOW,,BEARISH,69.67,CALM_TRANSITION,THICK_BUFFER,LOW,MEDIUM
case_000500,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.679533,0.713048,0.033515,0.067031,0.4496,0.9996,LOW,,BEARISH,66.73,POSITIVE_GAMMA_PINNING,THICK_BUFFER,LOW,LOW
case_000508,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.484677,0.557501,0.072823,0.034511,0.2159,0.5733,LOW,,BEARISH,53.39,CALM_TRANSITION,THICK_BUFFER,POOR,LOW
case_000511,SHORT_PUT,NORMAL,EXIT_PREFERRED,normal_too_sticky,0.507286,0.487041,-0.020245,-0.04049,0.6698,0.5688,MEDIUM,EDB_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,65.13,CALM_TRANSITION,ABSENT,MEDIUM,LOW
case_000520,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.749374,0.541454,-0.20792,-0.41584,0.348,2.5405,LOW,,BEARISH,72.5,NEGATIVE_GAMMA_AMPLIFYING,OK,POOR,LOW
case_000524,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.214084,0.54739,0.333306,0.666612,0.4969,2.1031,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,84.2,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,EXTREME,MEDIUM
case_000534,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.643464,0.714035,0.070571,0.141143,0.496,0.8909,LOW,,BULLISH,45.59,POSITIVE_GAMMA_PINNING,INTACT,GOOD,LOW
case_000537,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.222813,0.32603,0.103217,0.090346,0.6489,0.8965,LOW,,BULLISH,45.3,POSITIVE_GAMMA_PINNING,OK,EXTREME,LOW
case_000539,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.128965,0.364193,0.235227,0.470455,0.4976,2.9621,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,49.95,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,HIGH,LOW
case_000553,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.031269,0.472551,0.441282,0.078931,0.8006,1.8359,MEDIUM,EDB_ADVERSE|GGR_ADVERSE,BULLISH,78.58,NEGATIVE_GAMMA_AMPLIFYING,OK,EXTREME,LOW
case_000560,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.782803,0.835164,0.052361,0.066806,0.3564,2.0538,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,49.84,POSITIVE_GAMMA_PINNING,PENETRATED,GOOD,LOW
case_000571,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.747913,0.706268,-0.041646,-0.083291,0.2712,2.2127,LOW,,BEARISH,64.2,NEGATIVE_GAMMA_AMPLIFYING,OK,HIGH,MEDIUM
case_000590,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.620658,0.606038,-0.01462,-0.02924,0.4862,0.5853,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,52.85,CALM_TRANSITION,TOUCHED,HIGH,LOW
case_000600,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.147384,0.619356,0.471972,0.943944,0.6046,1.8489,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,66.78,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,EXTREME,LOW
case_000604,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.571086,0.713561,0.142475,0.28495,0.6627,1.6418,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,65.15,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,EXTREME,LOW
case_000618,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.191335,0.540154,0.348819,0.697637,0.4098,1.6341,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,65.62,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,EXTREME,MEDIUM
case_000619,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.096072,0.3469,0.250829,0.501657,0.5485,2.8047,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,71.36,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,POOR,LOW
case_000620,SHORT_CALL,EXIT_PREFERRED,WATCH,exit_preferred_too_eager,0.80309,0.591859,-0.21123,0.048235,0.223,2.3196,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,63.15,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,GOOD,LOW
case_000622,SHORT_CALL,EXIT_PREFERRED,WATCH,exit_preferred_too_eager,0.57522,0.587313,0.012092,0.024185,0.4844,2.8541,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,57.76,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,LOW,MEDIUM
case_000628,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.168928,0.389695,0.220767,0.051097,0.4962,2.1488,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,NEUTRAL,51.48,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,POOR,LOW
case_000639,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.541663,0.530561,-0.011102,-0.022203,0.4048,0.7435,LOW,,BEARISH,71.69,CALM_TRANSITION,THICK_BUFFER,HIGH,LOW
case_000651,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.656355,0.721292,0.064937,0.129874,0.3886,1.6042,LOW,,BEARISH,55.04,POSITIVE_GAMMA_PINNING,THICK_BUFFER,MEDIUM,LOW
case_000652,SHORT_PUT,EXIT_PREFERRED,WATCH,exit_preferred_too_eager,0.608066,0.603669,-0.004397,-0.008794,0.4685,2.859,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,NEUTRAL,55.35,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,LOW,MEDIUM
case_000656,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.130562,0.555218,0.424657,-0.001614,0.6281,1.5667,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,68.21,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,POOR,MEDIUM
case_000662,SHORT_PUT,EXIT_PREFERRED,WATCH,exit_preferred_too_eager,0.744199,0.809437,0.065238,-0.027325,0.5237,2.4403,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,37.96,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,GOOD,LOW
case_000664,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.171921,0.278285,0.106364,-0.022771,0.5995,2.1003,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,NEUTRAL,58.69,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,GOOD,LOW
case_000675,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.654361,0.537515,-0.116847,0.057073,0.5448,2.4379,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,85.47,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,EXTREME,LOW
case_000685,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.064122,0.358042,0.29392,0.587841,0.5678,3.0531,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,52.62,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,POOR,LOW
case_000687,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.052607,0.400143,0.347537,0.695074,0.5212,3.032,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,81.79,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,EXTREME,MEDIUM
case_000691,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.752702,0.678083,-0.074619,0.079183,0.2202,3.0516,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,72.56,POSITIVE_GAMMA_PINNING,ABSENT,GOOD,LOW
case_000699,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.689247,0.643053,-0.046194,0.083174,0.4358,0.953,LOW,,BULLISH,64.03,CALM_TRANSITION,INTACT,EXTREME,LOW
case_000715,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.647971,0.73895,0.090979,0.181957,0.4864,0.6832,LOW,,NEUTRAL,41.13,CALM_TRANSITION,INTACT,GOOD,LOW
case_000734,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.095965,0.447155,0.35119,0.017721,0.4658,1.8387,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,83.69,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,EXTREME,MEDIUM
case_000738,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.641358,0.52589,-0.115467,-0.230935,0.2853,1.6625,LOW,,BEARISH,76.16,POSITIVE_GAMMA_PINNING,INTACT,POOR,LOW
case_000740,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.259845,0.491734,0.231889,0.463779,0.563,2.1291,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,NEUTRAL,61.94,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,HIGH,MEDIUM
